GCF NAME							
GCF_003111745	NZ_CP029172.1	NZ_CP029168.1	NZ_CP029169.1	NZ_CP029170.1	NZ_CP029171.1		
GCF_003184985	NZ_CP028468.1	NZ_CP028469.1					
GCF_003185005	NZ_CP028470.1	NZ_CP028471.1					
GCF_003186105	NZ_CP029629.1						
GCF_003186125	NZ_CP029627.1	NZ_CP029628.1					
GCF_003193665	NZ_CP029649.1	NZ_CP029648.1					
GCF_003193685	NZ_CP029669.1	NZ_CP029668.1					
GCF_003193705	NZ_CP029675.1	NZ_CP029674.1					
GCF_003193725	NZ_CP029678.1	NZ_CP029676.1	NZ_CP029677.1				
GCF_003193745	NZ_CP029653.1						
GCF_003193765	NZ_CP029652.1	NZ_CP029650.1	NZ_CP029651.1				
GCF_003193785	NZ_CP029681.1						
GCF_003193885	NZ_CP029658.1	NZ_CP029659.1					
GCF_003193965	NZ_CP029667.1	NZ_CP029666.1					
GCF_003194005	NZ_CP029655.1	NZ_CP029654.1					
GCF_003194025	NZ_CP029680.1	NZ_CP029679.1					
GCF_003194405	NZ_CP021171.1						
GCF_003203595	NZ_CP029664.1	NZ_CP029665.1					
GCF_003203615	NZ_CP029657.1	NZ_CP029656.1					
GCF_003203635	NZ_CP029663.1	NZ_CP029661.1	NZ_CP029662.1				
GCF_003203655	NZ_CP029671.1	NZ_CP029670.1					
GCF_003203675	NZ_CP029673.1	NZ_CP029672.1					
GCF_003264775	NZ_CP029685.1						
GCF_003264815	NZ_CP027788.1						
GCF_003288395	NZ_CP030323.1	NZ_CP030324.1					
GCF_003330905	NZ_CP030326.1	NZ_CP030325.1					
GCF_003342735	NZ_CP031131.1						
GCF_003342775	NZ_CP031130.1						
GCF_003347055	NZ_CP022607.1	NZ_CP022608.1					
GCF_003351925	NZ_CP022582.1						
GCF_003354545	NZ_CP022717.1						
GCF_003354565	NZ_CP022903.1						
GCF_003354585	NZ_CP022904.1						
GCF_003354605	NZ_CP022898.1						
GCF_003354625	NZ_CP022900.1						
GCF_003354645	NZ_CP022897.1						
GCF_003354665	NZ_CP022902.1						
GCF_003354685	NZ_CP022896.1						
GCF_003354705	NZ_CP022893.1						
GCF_003354725	NZ_CP022899.1						
GCF_003354745	NZ_CP022901.1						
GCF_003354765	NZ_CP022894.1						
GCF_003354785	NZ_CP022895.1						
GCF_003354805	NZ_CP022892.1						
GCF_003354865	NZ_CP022718.1	NZ_CP022719.1					
GCF_003354885	NZ_CP022910.1	NZ_CP022911.1					
GCF_003354905	NZ_CP022682.1	NZ_CP022683.1					
GCF_003354925	NZ_CP022720.1	NZ_CP022721.1					
GCF_003354945	NZ_CP022908.1	NZ_CP022909.1					
GCF_003354965	NZ_CP022906.1	NZ_CP022907.1					
GCF_003354985	NZ_CP022905.1						
GCF_003394105	NZ_CP031537.1						
GCF_003425545	NZ_CP031667.1	NZ_CP031668.1	NZ_CP031669.1				
GCF_003425835	NZ_CP031664.1	NZ_CP031665.1	NZ_CP031666.1				
GCF_003425885	NZ_CP031661.1	NZ_CP031662.1	NZ_CP031663.1				
GCF_003425915	NZ_CP031670.1	NZ_CP031671.1	NZ_CP031672.1				
GCF_003426145	NZ_CP031673.1						
GCF_003431365	NZ_CP031779.1						
GCF_003432345	NZ_CP031839.1	NZ_CP031840.1					
GCF_003432365	NZ_CP031838.1						
GCF_003490125	NZ_CP032051.1						
GCF_003573835	NZ_AP018923.1	NZ_AP018924.1					
GCF_003573855	NZ_AP018922.1						
GCF_003595365	NZ_CP014362.1	NZ_CP014363.1	NZ_CP014364.1				
GCF_003595385	NZ_CP014365.1	NZ_CP014366.1	NZ_CP014367.1				
GCF_003595405	NZ_CP014368.1	NZ_CP014369.1	NZ_CP014370.1				
GCF_003595425	NZ_CP014371.1	NZ_CP014372.1	NZ_CP014373.1	NZ_CP014374.1	NZ_CP014375.1		
GCF_003595445	NZ_CP014376.1	NZ_CP014377.1	NZ_CP014378.1	NZ_CP014379.1	NZ_CP014380.1		
GCF_003595465	NZ_CP014381.1	NZ_CP014382.1	NZ_CP014383.1				
GCF_003595485	NZ_CP014384.1	NZ_CP014385.1	NZ_CP014386.1				
GCF_003595505	NZ_CP014387.1	NZ_CP014388.1	NZ_CP014389.1	NZ_CP014390.1	NZ_CP014391.1		
GCF_003609855	NZ_AP017922.1	NZ_AP017923.1					
GCF_003609895	NZ_AP017891.1						
GCF_003609915	NZ_AP018349.1						
GCF_003627835	NZ_CP032481.1						
GCF_003827915	NZ_CP033865.1						
GCF_003855575	NZ_CP034098.1						
GCF_003944865	NZ_CP034349.1						
GCF_003945405	NZ_AP019305.1						
GCF_003945425	NZ_AP019306.1						
GCF_003952625	NZ_CP034441.1						
GCF_003955945	NZ_CP034102.1						
GCF_003957315	NZ_CP034486.1						
GCF_003991015	NZ_CP029474.1	NZ_CP029475.1					
GCF_004026165	NZ_CP035005.1	NZ_CP035006.1					
GCF_004026185	NZ_CP035003.1	NZ_CP035004.1					
GCF_004118995	NZ_CP035369.1	NZ_CP035370.1					
GCF_004136235	NZ_CP030137.1						
GCF_004136255	NZ_CP030138.1						
GCF_004136655	NZ_CP030136.1						
GCF_004153365	NZ_CP035671.1						
GCF_004193875	NZ_CP020957.1						
GCF_004193895	NZ_CP020959.1						
GCF_004208595	NZ_CP035791.1	NZ_CP035792.1					
GCF_004421085	NZ_CP038021.1						
GCF_004614295	NZ_CP020956.1						
GCF_004614315	NZ_CP020960.1						
GCF_004771335	NZ_CP038461.1						
GCF_004771515	NZ_CP038460.1						
GCF_004771975	NZ_CP038270.1						
GCF_004772055	NZ_CP038269.1						
GCF_004772175	NZ_CP038268.1						
GCF_004772215	NZ_CP038612.1						
GCF_004785995	NZ_CP039156.1						
GCF_004797195	NZ_CP038819.1						
GCF_005705815	NZ_CP039160.1	NZ_CP039161.1					
GCF_005707015	NZ_CP039167.1	NZ_CP039168.1					
GCF_005707215	NZ_CP039162.1	NZ_CP039163.1					
GCF_005707335	NZ_CP039992.1						
GCF_005885975	NZ_CP040560.1	NZ_CP040561.1					
